provider	id	species_key	cds_url	gff_url	gbff_url	genome_url	cds_archive_member	gff_archive_member	gbff_archive_member	genome_archive_member	cds_filename	gff_filename	gbff_filename	genome_filename	cds_url_template	gff_url_template	genome_url_template	local_cds_path	local_gff_path	local_gbff_path	local_genome_path
direct	Liriodendron_tulipifera_CNGB_SciRAID	Liriodendron_tulipifera	https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/liriodendron_tulipifera/02.annotation/LtulipiferaYP108A_766_v1.1.cds.fa.gz	https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/liriodendron_tulipifera/02.annotation/LtulipiferaYP108A_766_v1.1.gene.gff3.gz		https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/liriodendron_tulipifera/01.assembly/LtulipiferaYP108A_766_v1.0.fa.gz															
direct	Malus_sieversii_GDR	Malus_sieversii	https://www.rosaceae.org/rosaceae_downloads/Malus_sieversii/Msieversii_haploid_v1/genes/Msieversii_haploid_v2.cds.fa.gz	https://www.rosaceae.org/rosaceae_downloads/Malus_sieversii/Msieversii_haploid_v1/genes/Msieversii_haploid_v2.gff.gz		https://www.rosaceae.org/rosaceae_downloads/Malus_sieversii/Msieversii_haploid_v1/assembly/Msieversii_haploid_v2.chr.fa.gz					Msieversii_haploid_v2.cds.fa.gz	Msieversii_haploid_v2.gff.gz		Msieversii_haploid_v2.chr.fa.gz							
direct	Medicago_falcata_GWHHNGT00000000_direct	Medicago_falcata	https://download.cncb.ac.cn/gwh/Plants/Medicago_sativa_subsp._falcata_MF100_GWHHNGT00000000.1/GWHHNGT00000000.1.CDS.fasta.gz	https://download.cncb.ac.cn/gwh/Plants/Medicago_sativa_subsp._falcata_MF100_GWHHNGT00000000.1/GWHHNGT00000000.1.gff.gz		https://download.cncb.ac.cn/gwh/Plants/Medicago_sativa_subsp._falcata_MF100_GWHHNGT00000000.1/GWHHNGT00000000.1.genome.fasta.gz					GWHHNGT00000000.1.CDS.fasta.gz	GWHHNGT00000000.1.gff.gz		GWHHNGT00000000.1.genome.fasta.gz							
direct	https://figshare.com/articles/dataset/Medicago_sativa_genome_and_annotation_files/12623960	Medicago_sativa	https://ndownloader.figshare.com/files/23754245	https://ndownloader.figshare.com/files/23754716		https://ndownloader.figshare.com/files/23754059					ZhongmuNo.1.cds.fasta	ZhongmuNo.1.gff		ZhongmuNo.1_genome.fasta.gz							
direct	Melilotus_albus_GWHBEDJ00000000	Melilotus_albus	https://download.cncb.ac.cn/gwh/Plants/Melilotus_albus_Jiyu_Zhang_GWHBEDJ00000000/GWHBEDJ00000000.RNA.fasta.gz	https://download.cncb.ac.cn/gwh/Plants/Melilotus_albus_Jiyu_Zhang_GWHBEDJ00000000/GWHBEDJ00000000.gff.gz		https://download.cncb.ac.cn/gwh/Plants/Melilotus_albus_Jiyu_Zhang_GWHBEDJ00000000/GWHBEDJ00000000.genome.fasta.gz															
direct	Miscanthus_sinensis_CNGB_SciRAID	Miscanthus_sinensis	https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/miscanthus_sinensis/02.annotation/Msinensis_497_v7.1.cds.fa.gz	https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/miscanthus_sinensis/02.annotation/Msinensis_497_v7.1.gene.gff3.gz		https://ftp.cngb.org/pub/SciRAID/genomics/plants/angiosperm/miscanthus_sinensis/01.assembly/Msinensis_497_v7.0.fa.gz															
direct	https://nbenthamiana.jp/	Nicotiana_benthamiana	https://nbenthamiana.jp/data/dl_data/?data=transcripts_h	https://nbenthamiana.jp/data/dl_data/?data=gff		https://nbenthamiana.jp/data/dl_data/?data=chr					Nbe_v1.1_cds_HC.fa.gz	Nbe_v1.1.2.sorted.fixed.gff3.gz		Nbe.v1.1.chr01-19.fa.gz							
direct	https://bioinformatics.hainanu.edu.cn/hortdb/downloadFile_fileShow.action?download_fileType=Genome&download_speciesName=Ocimum+basilicum	Ocimum_basilicum	https://bioinformatics.hainanu.edu.cn/hortdb/download_down.action?fileName=Ocimum_basilicum_cds.fa.gz	https://bioinformatics.hainanu.edu.cn/hortdb/download_down.action?fileName=Ocimum_basilicum.gff3.gz		https://bioinformatics.hainanu.edu.cn/hortdb/download_down.action?fileName=Ocimum_basilicum_genome.fa.gz					Ocimum_basilicum_cds.fa.gz	Ocimum_basilicum.gff3.gz		Ocimum_basilicum_genome.fa.gz							
direct	Oryza_australiensis_PlantGARDEN_t4532.G001	Oryza_australiensis		https://plantgarden.jp/en/download/t4532/t4532.G001/V2_scaffold_annotation.gff3.gz		https://plantgarden.jp/en/download/t4532/t4532.G001/GCA_019925245.2_MQ-UA-ANU_Oaus-KR_2.0_genomic.fna.gz						V2_scaffold_annotation.gff3.gz		GCA_019925245.2_MQ-UA-ANU_Oaus-KR_2.0_genomic.fna.gz							
direct	https://db.cngb.org/search/project/CNP0002103/	Paris_polyphylla		https://ftp.cngb.org/pub/CNSA/data7/CNP0002103/CNS0407077/CNA0509263/Pp_chr_genes.gff		https://ftp.cngb.org/pub/CNSA/data7/CNP0002103/CNS0407077/CNA0509263/Pp_chr_genome.fasta.gz						Pp_chr_genes.gff		Pp_chr_genome.fasta.gz							
